File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF103POL	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF917KJG/	13191744	ENCODE Processing Pipeline	9fb86c4bb0d4d44c7c15fc7334780a78		https://www.encodeproject.org/files/ENCFF103POL/@@download/ENCFF103POL.bigBed				released	s3://encode-public/2018/11/19/f4a1f4c4-254a-4b71-88d7-cbc97c9972aa/ENCFF103POL.bigBed			
ENCFF437JCW	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF529OSX/, /files/ENCFF998NVU/	6197170	ENCODE Processing Pipeline	41bb1f4d6b4bb5f7cec651a0e57ca45f		https://www.encodeproject.org/files/ENCFF437JCW/@@download/ENCFF437JCW.bed.gz				released	s3://encode-public/2018/11/19/7426fa32-c95c-4d7d-820a-ed2c303f7cb1/ENCFF437JCW.bed.gz			
ENCFF463FOZ	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF198SRC/	13081728	ENCODE Processing Pipeline	a51ec9e2c37cfa70c8802da11fc8e0e7		https://www.encodeproject.org/files/ENCFF463FOZ/@@download/ENCFF463FOZ.bigBed				released	s3://encode-public/2018/11/19/d9a996bf-8b09-4e5c-a112-8e88a2e20d1d/ENCFF463FOZ.bigBed			
ENCFF568BTO	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF437JCW/, /files/ENCFF917KJG/, /files/ENCFF198SRC/	404740	ENCODE Processing Pipeline	38ce754062e52fc42d721dab5841ee75		https://www.encodeproject.org/files/ENCFF568BTO/@@download/ENCFF568BTO.bed.gz				released	s3://encode-public/2018/11/19/a143a83d-4ed1-4c80-a784-5239caf384f8/ENCFF568BTO.bed.gz			
ENCFF403UBX	bigBed narrowPeak	bigBed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF437JCW/	13067438	ENCODE Processing Pipeline	86da8b2e047cdf5ca2b246537ebee3e4		https://www.encodeproject.org/files/ENCFF403UBX/@@download/ENCFF403UBX.bigBed				released	s3://encode-public/2018/11/19/ac8c7269-dfa9-4925-a715-e7c5be03a47a/ENCFF403UBX.bigBed			
ENCFF943DHD	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF568BTO/	823350	ENCODE Processing Pipeline	83d119e812fe5ff5889d404d7258ea0e		https://www.encodeproject.org/files/ENCFF943DHD/@@download/ENCFF943DHD.bigBed				released	s3://encode-public/2018/11/19/425f5a0e-0c1e-4466-81e0-4f2fe633fbfe/ENCFF943DHD.bigBed			
ENCFF765HCW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001TDO/, /files/ENCFF437JCW/, /files/ENCFF917KJG/, /files/ENCFF198SRC/	408898	ENCODE Processing Pipeline	02862d355078b69df3977d3544c28ab9		https://www.encodeproject.org/files/ENCFF765HCW/@@download/ENCFF765HCW.bed.gz				released	s3://encode-public/2018/11/19/78a8d77d-1ea4-42f2-8651-9897702ab9ac/ENCFF765HCW.bed.gz			
ENCFF305ZIF	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF765HCW/	829187	ENCODE Processing Pipeline	d10818889462d2469697346d88e6570c		https://www.encodeproject.org/files/ENCFF305ZIF/@@download/ENCFF305ZIF.bigBed				released	s3://encode-public/2018/11/19/e01c4971-f636-42a1-b596-5cada961d77d/ENCFF305ZIF.bigBed			
ENCFF225TCB	bigWig	bigWig		signal p-value	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF132CCH/, /files/ENCFF723HPB/	1350756503	ENCODE Processing Pipeline	e3c90a44721d353a8a5f2929084e0864		https://www.encodeproject.org/files/ENCFF225TCB/@@download/ENCFF225TCB.bigWig				released	s3://encode-public/2020/12/03/7497060b-51e0-449b-91ac-9e9f1ff3171c/ENCFF225TCB.bigWig			
ENCFF039MRV	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF811TPM/, /files/ENCFF132CCH/, /files/ENCFF723HPB/	5759923	ENCODE Processing Pipeline	3cba67ced428f193131020d47854a939		https://www.encodeproject.org/files/ENCFF039MRV/@@download/ENCFF039MRV.bed.gz				released	s3://encode-public/2020/12/03/6e018fcf-1414-4dba-a9f2-13bd8190c4ca/ENCFF039MRV.bed.gz			
ENCFF793MVZ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF520BER/	492843	ENCODE Processing Pipeline	14f8bc12b232e0fcff738e336a47202f		https://www.encodeproject.org/files/ENCFF793MVZ/@@download/ENCFF793MVZ.bigBed				released	s3://encode-public/2020/12/03/0178c452-94d6-4973-9bbb-7df5b9666db3/ENCFF793MVZ.bigBed			
ENCFF316JKJ	bigWig	bigWig		fold change over control	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF132CCH/, /files/ENCFF723HPB/	953863827	ENCODE Processing Pipeline	985fe4bbd24c5c9db5b5ea2fdbf68644		https://www.encodeproject.org/files/ENCFF316JKJ/@@download/ENCFF316JKJ.bigWig				released	s3://encode-public/2020/12/03/0daf58fc-3aa1-410e-ad95-5241b1fd815b/ENCFF316JKJ.bigWig			
ENCFF823KBF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF356LFX/, /files/ENCFF132CCH/, /files/ENCFF723HPB/	247187	ENCODE Processing Pipeline	70f501977314f26b8a9e66e3e73cf0c5		https://www.encodeproject.org/files/ENCFF823KBF/@@download/ENCFF823KBF.bed.gz				released	s3://encode-public/2020/12/03/9691dc9f-6fde-4697-a32b-1481253f4e6e/ENCFF823KBF.bed.gz			
ENCFF774YHP	bigWig	bigWig		fold change over control	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF811TPM/, /files/ENCFF723HPB/	1034377244	ENCODE Processing Pipeline	edc6306838c8f10e3141575dac42dde3		https://www.encodeproject.org/files/ENCFF774YHP/@@download/ENCFF774YHP.bigWig				released	s3://encode-public/2020/12/03/bc78435f-74c2-4c9b-a452-21d03a2739f9/ENCFF774YHP.bigWig			
ENCFF504UQU	bigWig	bigWig		fold change over control	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF811TPM/, /files/ENCFF132CCH/, /files/ENCFF723HPB/	1475048994	ENCODE Processing Pipeline	63c1506390d2b5ddbdb8a76495d046b7		https://www.encodeproject.org/files/ENCFF504UQU/@@download/ENCFF504UQU.bigWig				released	s3://encode-public/2020/12/03/ec690dd4-c08b-4402-92bd-08a541c55633/ENCFF504UQU.bigWig			
ENCFF978JFE	bam	bam		unfiltered alignments	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1		76					/files/ENCFF851FHG/, /files/ENCFF110MCL/	2184902328	ENCODE Processing Pipeline	e63a857c52acfe74a158910d142f0d6d		https://www.encodeproject.org/files/ENCFF978JFE/@@download/ENCFF978JFE.bam				released	s3://encode-public/2020/12/03/34a82787-de88-4e9a-8b6a-358a39076700/ENCFF978JFE.bam			
ENCFF132CCH	bam	bam		alignments	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1		76					/files/ENCFF085MHP/, /files/ENCFF110MCL/	1431682898	ENCODE Processing Pipeline	b09f90f5d13453488970c883ed512502		https://www.encodeproject.org/files/ENCFF132CCH/@@download/ENCFF132CCH.bam				released	s3://encode-public/2020/12/03/42bb393d-068c-4549-8954-575146fda512/ENCFF132CCH.bam			
ENCFF233WRV	bam	bam		unfiltered alignments	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1		76					/files/ENCFF085MHP/, /files/ENCFF110MCL/	2017883735	ENCODE Processing Pipeline	32ccb9a4d06557872359b64fb42bc30c		https://www.encodeproject.org/files/ENCFF233WRV/@@download/ENCFF233WRV.bam				released	s3://encode-public/2020/12/03/2375f1ef-9784-4061-af32-3ff1a0af42eb/ENCFF233WRV.bam			
ENCFF811TPM	bam	bam		alignments	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1		76					/files/ENCFF851FHG/, /files/ENCFF110MCL/	1572770052	ENCODE Processing Pipeline	4f1d6fa98aa340eda89591266c86dc93		https://www.encodeproject.org/files/ENCFF811TPM/@@download/ENCFF811TPM.bam				released	s3://encode-public/2020/12/03/68a841d7-ca26-42f8-8e2f-4d048681a967/ENCFF811TPM.bam			
ENCFF380EWW	bigWig	bigWig		signal p-value	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF811TPM/, /files/ENCFF723HPB/	1220121996	ENCODE Processing Pipeline	555e7e857749a59ceec1992bda3a0d0f		https://www.encodeproject.org/files/ENCFF380EWW/@@download/ENCFF380EWW.bigWig				released	s3://encode-public/2020/12/03/d7ca3729-6843-483b-b999-46c59f7a0e1b/ENCFF380EWW.bigWig			
ENCFF780NMQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF811TPM/, /files/ENCFF132CCH/, /files/ENCFF723HPB/	1292814774	ENCODE Processing Pipeline	8d8fe932679760d1135c6ff474b0c2a2		https://www.encodeproject.org/files/ENCFF780NMQ/@@download/ENCFF780NMQ.bigWig				released	s3://encode-public/2020/12/03/4a55b649-d0de-4d4f-8244-c79de76503fd/ENCFF780NMQ.bigWig			
ENCFF203OUN	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF811TPM/, /files/ENCFF723HPB/	4514467	ENCODE Processing Pipeline	b4f761d1d10e81b04f0ac366b11eb92b		https://www.encodeproject.org/files/ENCFF203OUN/@@download/ENCFF203OUN.bed.gz				released	s3://encode-public/2020/12/03/bd703754-c93b-48f3-9ac8-dee0ca8427cd/ENCFF203OUN.bed.gz			
ENCFF520BER	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1	1_1							/files/ENCFF811TPM/, /files/ENCFF356LFX/, /files/ENCFF723HPB/	262168	ENCODE Processing Pipeline	783c2b7ef77079483dda987c521f97ea		https://www.encodeproject.org/files/ENCFF520BER/@@download/ENCFF520BER.bed.gz				released	s3://encode-public/2020/12/03/0dc4da14-5f1a-46d4-8f9f-2bb8b8f32d3c/ENCFF520BER.bed.gz			
ENCFF893ALY	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF132CCH/, /files/ENCFF723HPB/	4997304	ENCODE Processing Pipeline	a8cbef3745cc3e31b167724279040b5e		https://www.encodeproject.org/files/ENCFF893ALY/@@download/ENCFF893ALY.bed.gz				released	s3://encode-public/2020/12/03/2ca92e27-8382-4cfc-ba83-a1d36bc3b231/ENCFF893ALY.bed.gz			
ENCFF172KFO	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF811TPM/, /files/ENCFF132CCH/, /files/ENCFF723HPB/	5720879	ENCODE Processing Pipeline	fed4b3e63db248a216b521b0aaa0c389		https://www.encodeproject.org/files/ENCFF172KFO/@@download/ENCFF172KFO.bed.gz				released	s3://encode-public/2020/12/03/251ffdf1-112d-4ac5-925d-008cc73c7090/ENCFF172KFO.bed.gz			
ENCFF358INM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF811TPM/, /files/ENCFF356LFX/, /files/ENCFF132CCH/, /files/ENCFF723HPB/	396538	ENCODE Processing Pipeline	3f4054247628a54d9467c6e825d380a0		https://www.encodeproject.org/files/ENCFF358INM/@@download/ENCFF358INM.bed.gz				released	s3://encode-public/2020/12/03/4480e88d-3b12-4b8a-92df-595a3149bb5a/ENCFF358INM.bed.gz			
ENCFF911OIW	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF811TPM/, /files/ENCFF356LFX/, /files/ENCFF132CCH/, /files/ENCFF723HPB/	380823	ENCODE Processing Pipeline	da7f7691a7680611d71b2a27bfde8712		https://www.encodeproject.org/files/ENCFF911OIW/@@download/ENCFF911OIW.bed.gz				released	s3://encode-public/2020/12/03/db0f0aeb-a66b-4700-9602-79b3adcdbf01/ENCFF911OIW.bed.gz			
ENCFF559RQC	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		2	2_1							/files/ENCFF823KBF/	467308	ENCODE Processing Pipeline	a24959e7ae53169069753235908eb12e		https://www.encodeproject.org/files/ENCFF559RQC/@@download/ENCFF559RQC.bigBed				released	s3://encode-public/2020/12/03/876f9a31-4ce1-44f3-86b1-afd719b8991f/ENCFF559RQC.bigBed			
ENCFF268PFH	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF358INM/	847454	ENCODE Processing Pipeline	aec0c90b8657a3e285092c144905fa0a		https://www.encodeproject.org/files/ENCFF268PFH/@@download/ENCFF268PFH.bigBed				released	s3://encode-public/2020/12/03/7ea5a328-9d82-415e-bdfa-0f13755010ac/ENCFF268PFH.bigBed			
ENCFF160LRM	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR589SNT	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	/targets/TFE3-human/				TFE3-human	DNA						2016-11-08	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF911OIW/	823163	ENCODE Processing Pipeline	fb363015d884f3e486783d18fa3726c9		https://www.encodeproject.org/files/ENCFF160LRM/@@download/ENCFF160LRM.bigBed				released	s3://encode-public/2020/12/03/2ab3159a-782a-47f4-9af3-60dc6872d98b/ENCFF160LRM.bigBed			
ENCFF676ZCH	bam	bam		unfiltered alignments	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	2	2_1		100					/files/ENCFF228VAR/, /files/ENCFF807MUK/, /files/ENCFF739VNU/	8253213555	ENCODE Processing Pipeline	384eb498b83f30b43cbe3db460bff85e		https://www.encodeproject.org/files/ENCFF676ZCH/@@download/ENCFF676ZCH.bam				released	s3://encode-public/2018/02/21/d7a6dbd3-98b8-4957-8d87-a3f4d2eee8ef/ENCFF676ZCH.bam			
ENCFF143KYV	bam	bam		unfiltered alignments	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	1	1_1		100					/files/ENCFF107ZQT/, /files/ENCFF807MUK/, /files/ENCFF387RWU/	7757321479	ENCODE Processing Pipeline	b16934ed55c26d4d3ff227d848d416c3		https://www.encodeproject.org/files/ENCFF143KYV/@@download/ENCFF143KYV.bam				released	s3://encode-public/2018/02/22/81b9ae6a-7fe0-4bdd-aa84-1ff8c856a9cf/ENCFF143KYV.bam			
ENCFF387RWU	fastq	fastq		reads		ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	1	1_1	100		paired-ended	1	/files/ENCFF107ZQT/			3671651858	Michael Snyder, Stanford	5f5ee8e25261eaeedfb742c429c89222	SRA:SRR5111212	https://www.encodeproject.org/files/ENCFF387RWU/@@download/ENCFF387RWU.fastq.gz		Illumina HiSeq 2000	/files/ENCFF002EFF/	released	s3://encode-public/2016/05/13/516b8687-23e8-43a6-86db-0ab07b76594c/ENCFF387RWU.fastq.gz			
ENCFF739VNU	fastq	fastq		reads		ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	2	2_1	100		paired-ended	2	/files/ENCFF228VAR/			3977254650	Michael Snyder, Stanford	bc6b440968652f36c99716aad14350a2	SRA:SRR5111211	https://www.encodeproject.org/files/ENCFF739VNU/@@download/ENCFF739VNU.fastq.gz		Illumina HiSeq 2000	/files/ENCFF002EFA/	released	s3://encode-public/2016/05/13/7c2d066f-46be-44f8-90d4-1be57ddf5518/ENCFF739VNU.fastq.gz			
ENCFF107ZQT	fastq	fastq		reads		ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	1	1_1	100		paired-ended	2	/files/ENCFF387RWU/			3723682364	Michael Snyder, Stanford	9ee989dd92c9999058f51422d55eb4f0	SRA:SRR5111212	https://www.encodeproject.org/files/ENCFF107ZQT/@@download/ENCFF107ZQT.fastq.gz		Illumina HiSeq 2000	/files/ENCFF002EFH/	released	s3://encode-public/2016/05/13/53215041-528a-4d60-b37f-e1e61fadb17a/ENCFF107ZQT.fastq.gz			
ENCFF228VAR	fastq	fastq		reads		ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	2	2_1	100		paired-ended	1	/files/ENCFF739VNU/			3919404298	Michael Snyder, Stanford	54b8bf503656adb77f558c759dd27df6	SRA:SRR5111211	https://www.encodeproject.org/files/ENCFF228VAR/@@download/ENCFF228VAR.fastq.gz		Illumina HiSeq 2000	/files/ENCFF002EFD/	released	s3://encode-public/2016/05/13/7795b0a7-c3c7-4999-948f-acccd711cf66/ENCFF228VAR.fastq.gz			
ENCFF585HLM	bam	bam		alignments	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	2	2_1		100					/files/ENCFF228VAR/, /files/ENCFF807MUK/, /files/ENCFF739VNU/	6658346880	ENCODE Processing Pipeline	e133facfb594a320982d5c025409c03b		https://www.encodeproject.org/files/ENCFF585HLM/@@download/ENCFF585HLM.bam				released	s3://encode-public/2016/05/18/221b4482-b904-46e3-84b0-0f3ea07d1f9a/ENCFF585HLM.bam			
ENCFF261IPD	bam	bam		alignments	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	1	1_1		100					/files/ENCFF107ZQT/, /files/ENCFF807MUK/, /files/ENCFF387RWU/	6279949494	ENCODE Processing Pipeline	6319567efd8df69f66d27887647b2498		https://www.encodeproject.org/files/ENCFF261IPD/@@download/ENCFF261IPD.bam				released	s3://encode-public/2016/05/18/200bed7d-7fae-453b-b0a6-e0373904a94d/ENCFF261IPD.bam			
ENCFF496WPJ	bigWig	bigWig		signal p-value	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	1	1_1							/files/ENCFF261IPD/, /files/ENCFF581ZJL/	1258307293	ENCODE Processing Pipeline	854076d790aaf223390fda018bc17785		https://www.encodeproject.org/files/ENCFF496WPJ/@@download/ENCFF496WPJ.bigWig				released	s3://encode-public/2016/09/01/1919e485-7949-4ac1-8379-b86f4bd4a244/ENCFF496WPJ.bigWig			
ENCFF597QLR	bigWig	bigWig		signal p-value	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	2	2_1							/files/ENCFF051LWI/, /files/ENCFF585HLM/	1364828356	ENCODE Processing Pipeline	1be10d9256cdce2ac639c94abcd41227		https://www.encodeproject.org/files/ENCFF597QLR/@@download/ENCFF597QLR.bigWig				released	s3://encode-public/2016/09/01/e2350553-7643-4931-aec1-004d0a0b292b/ENCFF597QLR.bigWig			
ENCFF261RZN	bigWig	bigWig		signal p-value	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF261IPD/, /files/ENCFF581ZJL/, /files/ENCFF585HLM/, /files/ENCFF051LWI/	2225534491	ENCODE Processing Pipeline	095364129558be8d00b99e4a2b82078e		https://www.encodeproject.org/files/ENCFF261RZN/@@download/ENCFF261RZN.bigWig				released	s3://encode-public/2016/09/01/8d3b54a9-f094-4fcf-802d-7a4c976ff593/ENCFF261RZN.bigWig			
ENCFF773LGC	bigWig	bigWig		fold change over control	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	1	1_1							/files/ENCFF261IPD/, /files/ENCFF581ZJL/	1431662378	ENCODE Processing Pipeline	2ac8182019c4e3f4ff8f293f3d8ec05c		https://www.encodeproject.org/files/ENCFF773LGC/@@download/ENCFF773LGC.bigWig				released	s3://encode-public/2016/09/01/b487e308-83b5-4466-8a19-ae849c93df7c/ENCFF773LGC.bigWig			
ENCFF196ZGI	bigWig	bigWig		fold change over control	hg19	ENCSR167KBO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZNF316-human	DNA						2016-11-10	ENCODE			450-650	2	2_1							/files/ENCFF051LWI/, /files/ENCFF585HLM/	1412071854	ENCODE Processing Pipeline	58dc8693ffd8c6ba5b6aa9ae815a1790		https://www.encodeproject.org/files/ENCFF196ZGI/@@download/ENCFF196ZGI.bigWig				released	s3://encode-public/2016/09/01/42ad8401-5e84-497f-9619-eee1a20f962c/ENCFF196ZGI.bigWig			
